GKZ,Gebietsname,Wahlberechtigte,abgegeben,ungueltig,gueltig,Griss,Hofer,Hundstorfer,Khol,Lugner,Van der Bellen
G00000,Österreich,6382507,4371825,92655,4279170,810641,1499971,482790,475767,96783,913218
G00099,Wahlkarten - Österreich,0,543129,8355,534774,117323,136832,64349,57203,9025,150042
G10000,Burgenland,232028,180207,4354,175853,21870,73676,30802,22910,3317,23278
G10099,Wahlkarten - Burgenland,0,15590,234,15356,2267,5021,2761,2302,185,2820
G10100,Eisenstadt(Stadt),10567,8002,125,7877,1369,2763,703,1271,103,1668
G10101,Eisenstadt,10567,7088,118,6970,1192,2522,615,1091,92,1458
G10199,Wahlkarten - Eisenstadt(Stadt),0,914,7,907,177,241,88,180,11,210
G10200,Rust(Stadt),1545,1286,35,1251,147,516,251,141,20,176
G10201,Rust,1545,1110,33,1077,122,463,218,122,15,137
G10299,Wahlkarten - Rust(Stadt),0,176,2,174,25,53,33,19,5,39
G10300,Eisenstadt-Umgebung,33671,26941,730,26211,3403,10188,4938,3226,515,3941
G10301,Breitenbrunn am Neusiedler See,1578,1143,45,1098,176,411,181,114,26,190
G10302,Donnerskirchen,1472,1062,23,1039,117,503,148,141,13,117
G10303,Großhöflein,1671,1185,33,1152,205,474,168,139,20,146
G10304,Hornstein,2283,1544,25,1519,220,583,275,114,43,284
G10305,Klingenbach,892,657,14,643,50,209,226,101,13,44
G10306,Leithaprodersdorf,967,765,24,741,116,281,54,170,20,100
G10307,Mörbisch am See,1830,1350,45,1305,162,598,226,126,34,159
G10308,Müllendorf,1121,837,21,816,127,309,140,81,9,150
G10309,Neufeld an der Leitha,2512,1841,41,1800,247,781,296,103,44,329
G10310,Oggau am Neusiedler See,1491,1176,50,1126,99,474,244,173,20,116
G10311,Oslip,1023,792,17,775,81,229,204,149,10,102
G10312,Purbach am Neusiedler See,2341,1645,42,1603,188,719,202,233,22,239
G10313,Sankt Margarethen im Burgenland,2296,1698,60,1638,188,719,248,254,30,199
G10314,Schützen am Gebirge,1113,847,31,816,108,292,150,188,17,61
